price,bedrooms,sqft_living,floors
221900,3,1180,1
538000,3,2570,2
180000,2,770,1
604000,4,1960,1
510000,3,1680,1
1.23E+06,4,5420,1
257500,3,1715,2
291850,3,1060,1
229500,3,1780,1
323000,3,1890,2
662500,3,3560,1
468000,2,1160,1
310000,3,1430,1.5
400000,3,1370,1
530000,5,1810,1.5
650000,4,2950,2
395000,3,1890,2
485000,4,1600,1.5
189000,2,1200,1
230000,3,1250,1
385000,4,1620,1
2.00E+06,3,3050,1
285000,5,2270,2
252700,2,1070,1
329000,3,2450,2
233000,3,1710,1.5
937000,3,2450,2
667000,3,1400,1.5
438000,3,1520,1
719000,4,2570,2
580500,3,2320,2
280000,2,1190,3
687500,4,2330,1.5
535000,3,1090,1.5
322500,4,2060,1
696000,3,2300,1.5
550000,4,1660,1
640000,4,2360,2
240000,4,1220,1
605000,4,2620,2
625000,4,2570,2
775000,4,4220,1
861990,5,3595,2
685000,3,1570,2
309000,3,1280,1
488000,3,3160,2
210490,3,990,1
785000,4,2290,2
450000,3,1250,1
1.35E+06,3,2753,1
228000,3,1190,1
345000,5,3150,1
600000,3,1410,1
585000,2,1980,1
920000,5,2730,1.5
885000,4,2830,2
292500,4,2250,2
301000,3,2420,2
951000,5,3250,2
430000,4,1850,2
650000,3,2150,1
289000,3,1260,1
505000,3,2519,2
549000,3,1540,3
425000,3,1660,1
317625,3,2770,1.5
975000,4,2720,2
287000,4,2240,2
204000,3,1000,1
1.33E+06,5,3200,1
1.04E+06,5,4770,1
325000,3,1260,1
571000,4,2750,1.5
360000,4,2380,2
349000,3,1790,1
832500,4,3430,2
380000,4,1760,1
480000,3,1040,1
410000,3,1410,1
720000,4,3450,2
390000,3,2350,2
360000,4,1900,2
355000,2,2020,1
356000,3,1680,1
315000,3,960,1
940000,3,2140,2
305000,5,2660,1.5
461000,3,2770,2
215000,2,1610,2
335000,2,1030,2
243500,4,1980,2
1.10E+06,5,3520,2
153000,3,1200,1
430000,3,1580,1
700000,3,1580,1
905000,4,3300,1
247500,3,1960,1
199000,4,1160,1
314000,3,1810,1
437500,3,2320,2
850830,3,2070,1.5
555000,3,1980,1.5
699950,3,2190,2
1.09E+06,3,2920,2
290000,3,1210,1
375000,3,2340,1
460000,3,1670,1.5
188500,2,1240,1
680000,4,3140,2
470000,5,2030,2
597750,4,2310,2
570000,3,1260,1
272500,3,1540,1
329950,3,2080,1
480000,4,3230,2
740500,3,4380,2
518500,3,1590,3
205425,2,880,1
171800,4,1570,1
535000,4,1610,1.5
660000,3,2400,1
391500,3,1450,1
395000,2,770,1
445000,4,2100,1.5
770000,3,2910,2
1.45E+06,4,2750,1.5
445000,3,2100,1
260000,4,2160,1
822500,5,2320,2
430000,4,2070,2
212000,3,1060,1
660500,4,2010,1
784000,3,3950,1.5
453246,3,2010,2
675000,4,2140,3
199000,3,1320,1
220000,4,2020,1
452000,4,2590,1
382500,2,1190,1
519950,3,1170,3
665000,2,1110,1
527700,5,2820,1
205000,3,1610,1
420000,3,1060,1
500000,4,2030,1
921500,4,3670,2
890000,4,2550,2
430000,2,2420,2
258000,5,2260,1
511000,3,1430,1
532170,3,1360,2
560000,3,1110,1.5
282950,3,1250,1
2.25E+06,4,5180,2
350000,1,700,1
215000,3,1180,1
650000,5,3960,2
320000,4,2640,1
247000,3,1270,1.5
320000,4,1760,1
255000,5,2060,1
438000,3,1780,1
900000,3,3400,2
441000,3,1910,1
420000,3,2020,1
370000,3,1580,1
269950,2,1340,1
807100,4,2680,2
653000,3,2680,1
371500,3,1370,1
284000,3,1560,1
272000,3,2160,1
313000,3,1340,1.5
917500,4,3880,2
673000,4,2590,2
425000,3,1120,2
399950,5,1970,1
385000,3,1220,1
269950,3,1950,1
330000,2,1350,1
260000,3,1670,2
470000,4,2380,1.5
589000,4,2440,2
163500,2,1050,2
835000,4,3130,2
1.10E+06,5,4090,1
269000,4,1490,1
560000,3,1900,2
615000,4,1330,1.5
585188,3,2230,1
305000,3,1650,1
166950,3,1190,1
799000,3,2140,1
400000,3,2180,1
230000,3,1060,1
256883,3,1690,2
423000,4,1970,1.5
465000,3,2150,2
440000,3,1910,2
385000,3,1350,1
210000,3,860,1
297000,3,1940,2
470000,3,1010,1
226500,3,1300,1
274250,3,910,1
840000,4,2480,1
677900,3,2440,2
425000,3,1010,1
180250,2,900,1
464000,6,2300,2
320000,4,1550,2
625504,3,1270,2
592500,4,2240,1
465000,3,2714,2
477000,4,1720,2
280000,2,850,1
1.51E+06,5,3300,1
445838,3,2250,2
1.07E+06,2,3900,1
467000,2,1320,1
686000,4,2760,2
279950,3,1750,1
527000,4,2330,2
325000,3,2220,1
328000,3,2020,2
390000,3,1250,1
479950,2,1510,1
264950,4,1720,1
235000,3,1430,1
516500,3,1480,2
655000,2,1450,2
500000,4,2280,1
315000,6,2940,1
213000,2,1000,1
475000,3,2480,1.5
1.03E+06,5,3760,2
416000,3,2220,1
410000,4,1970,1.5
800000,3,3830,2
472000,6,4410,1
